minute,comment_count
0,288
1,463
2,305
3,305
4,333
5,321
6,478
7,349
8,110
9,261
10,162
11,23
12,79
13,60
14,121
15,240
16,173
17,288
18,229
19,404
20,176
21,190
22,325
23,144
24,299
25,71
26,326
27,203
28,166
29,114
30,143
31,191
32,278
33,481
34,95
35,398
36,278
37,311
38,322
39,320
40,245
41,265
42,254
43,321
44,268
45,235
46,274
47,176
48,207
49,363
50,105
51,291
52,181
53,208
54,187
55,295
56,221
57,186
58,235
59,236
60,228
61,268
62,192
63,182
64,131
65,82
66,202
67,213
68,201
69,423
70,294
71,314
72,317
73,368
74,167
75,217
76,76
77,165
78,122
79,63
80,241
81,232
82,265
83,101
84,160
85,174
86,215
87,268
88,202
89,162
90,88
91,95
92,192
93,371
94,516
95,304
96,137
97,24
98,18
99,125
100,299
101,84
102,125
103,145
104,208
105,55
106,212
107,193
108,92
109,134
110,138
111,142
112,127
113,78
114,191
115,87
116,77
117,122
118,161
119,238
120,226
121,51
122,47
123,148
124,182
125,151
126,70
127,173
128,146
129,53
130,232
131,20
132,62
133,58
134,98
135,9
136,96
137,123
138,118
139,212
140,168
141,236
142,31
143,48
144,206
145,34
146,54
147,18
148,151
149,28
150,90
151,68
152,38
153,176
154,41
155,167
156,44
157,37
158,20
159,191
160,130
161,238
162,44
163,30
164,96
165,37
166,61
167,42
168,17
169,13
170,8
171,79
172,27
173,69
174,36
175,117
176,82
177,144
178,87
179,14
180,69
181,129
182,25
183,20
184,26
185,39
186,73
187,17
188,37
189,14
190,12
191,9
192,16
193,20
194,58
195,13
196,108
197,37
198,48
199,45
200,109
201,147
202,56
203,50
204,89
205,57
206,78
207,47
208,32
209,49
210,71
211,71
212,74
213,27
214,52
215,56
216,134
217,26
218,34
219,8
220,18
221,14
222,13
223,2
224,10
225,8
226,3
227,23
228,17
229,5
230,15
231,3
232,34
233,15
234,6
235,12
236,48
237,45
238,70
239,37
240,68
241,39
242,23
243,51
244,67
245,32
246,240
247,68
248,107
249,161
250,68
251,41
252,18
253,82
254,86
255,61
256,93
257,85
258,56
259,17
260,41
261,8
262,31
263,3
264,18
265,10
266,20
267,11
268,70
269,78
270,25
271,78
272,82
273,29
274,12
275,6
276,9
277,11
278,3
279,1
280,11
281,8
282,30
283,12
284,47
285,20
286,28
287,39
288,46
289,30
290,167
291,225
292,30
293,22
294,38
295,48
296,46
297,30
298,23
299,34
300,35
301,70
302,19
303,63
304,68
305,60
306,44
307,47
308,23
309,25
310,35
311,47
312,50
314,66
315,65
316,61
317,74
318,29
319,37
320,33
321,35
322,50
323,35
324,49
325,56
326,48
327,40
328,17
329,55
330,35
331,10
332,17
333,6
334,7
335,4
336,8
337,8
338,21
339,19
340,21
341,14
342,16
343,32
344,28
345,21
346,30
347,11
348,102
349,19
350,24
351,33
352,5
353,28
354,26
355,37
356,15
357,50
358,9
359,19
360,2
361,11
362,7
363,1
364,3
365,13
366,11
367,6
368,4
369,13
370,4
371,16
372,26
373,39
374,33
375,7
376,19
377,6
378,11
379,8
380,33
381,30
382,43
383,43
384,40
385,38
386,56
387,88
388,92
389,68
390,97
391,124
392,99
393,95
394,67
395,77
396,29
397,13
398,22
399,12
400,82
401,45
402,77
403,66
404,46
405,178
406,48
407,52
408,70
409,14
410,45
411,34
412,24
413,34
414,9
415,38
416,21
417,62
418,76
419,19
420,20
421,18
422,6
423,16
424,58
425,27
426,121
427,102
428,19
430,5
431,6
432,12
433,13
434,46
435,84
436,80
437,118
438,70
439,24
440,19
441,24
442,34
443,43
444,38
445,26
446,81
447,90
448,47
449,21
450,110
451,112
452,200
453,138
454,105
455,53
456,52
457,34
458,57
459,90
